UF;Zona;Partido;G�nero;Grau de escolaridade;Faixa et�ria;Quantitativo;Porcentagem (%);qt_nome_social;qt_deficientes;Data de carga
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;12;0,1714;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;20;0,2857;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;18;0,2571;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;16;0,2286;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;25 a 34 anos;3;0,0326;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;12;0,1304;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;19;0,2065;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;24;0,2609;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;21;0,2283;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Superior a 79 anos;13;0,1413;0;1;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO M�DIO COMPLETO;21 a 24 anos;1;0,0047;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO M�DIO COMPLETO;25 a 34 anos;9;0,0423;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO M�DIO COMPLETO;35 a 44 anos;24;0,1127;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO M�DIO COMPLETO;45 a 59 anos;70;0,3286;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO M�DIO COMPLETO;60 a 69 anos;62;0,2911;0;1;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO M�DIO COMPLETO;70 a 79 anos;29;0,1362;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO M�DIO COMPLETO;Superior a 79 anos;18;0,0845;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO M�DIO INCOMPLETO;25 a 34 anos;6;0,0822;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO M�DIO INCOMPLETO;35 a 44 anos;18;0,2466;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO M�DIO INCOMPLETO;45 a 59 anos;18;0,2466;0;0;2024-09-16 15:01:10
